profileID;respID;qID;altID;obsID;price;origin_Brazil Central Plateau;origin_Colombia Cauca;processing_Natural;processing_Washed;Specialty_Coffee_SCA Score: 80;Specialty_Coffee_SCA Score: 90;no_choice
0;2;14;4;30;0;0;0;0;0;0;0;1
1;2;15;1;31;11;1;0;1;0;1;0;0
15;2;15;2;31;11;0;1;0;1;0;1;0
4;2;15;3;31;30;0;1;1;0;1;0;0
0;2;15;4;31;0;0;0;0;0;0;0;1
5;2;16;1;32;11;1;0;0;1;1;0;0
11;2;16;2;32;11;0;1;1;0;0;1;0
13;2;16;3;32;11;1;0;0;1;0;1;0
0;2;16;4;32;0;0;0;0;0;0;0;1
12;3;1;1;33;30;0;1;1;0;0;1;0
9;3;1;2;33;11;1;0;1;0;0;1;0
16;3;1;3;33;30;0;1;0;1;0;1;0
0;3;1;4;33;0;0;0;0;0;0;0;1
2;3;2;1;34;30;1;0;1;0;1;0;0
1;3;2;2;34;11;1;0;1;0;1;0;0
15;3;2;3;34;11;0;1;0;1;0;1;0
0;3;2;4;34;0;0;0;0;0;0;0;1
13;3;3;1;35;11;1;0;0;1;0;1;0
10;3;3;2;35;30;1;0;1;0;0;1;0
7;3;3;3;35;11;0;1;0;1;1;0;0
0;3;3;4;35;0;0;0;0;0;0;0;1
8;3;4;1;36;30;0;1;0;1;1;0;0
4;3;4;2;36;30;0;1;1;0;1;0;0
10;3;4;3;36;30;1;0;1;0;0;1;0
0;3;4;4;36;0;0;0;0;0;0;0;1
11;3;5;1;37;11;0;1;1;0;0;1;0
12;3;5;2;37;30;0;1;1;0;0;1;0
5;3;5;3;37;11;1;0;0;1;1;0;0
0;3;5;4;37;0;0;0;0;0;0;0;1
7;3;6;1;38;11;0;1;0;1;1;0;0
16;3;6;2;38;30;0;1;0;1;0;1;0
8;3;6;3;38;30;0;1;0;1;1;0;0
0;3;6;4;38;0;0;0;0;0;0;0;1
4;3;7;1;39;30;0;1;1;0;1;0;0
3;3;7;2;39;11;0;1;1;0;1;0;0
14;3;7;3;39;30;1;0;0;1;0;1;0
0;3;7;4;39;0;0;0;0;0;0;0;1
16;3;8;1;40;30;0;1;0;1;0;1;0
2;3;8;2;40;30;1;0;1;0;1;0;0
9;3;8;3;40;11;1;0;1;0;0;1;0
0;3;8;4;40;0;0;0;0;0;0;0;1
